Input Size,Linear Comparisons,Linear Time (sec),Binary Comparisons,Binary Time (sec),Speedup
1000,901,0.000099,8,0.000005,19.49
5000,4501,0.000527,9,0.000003,155.00
10000,9001,0.001059,13,0.000004,286.24
50000,45001,0.006481,16,0.000006,1028.78
100000,90001,0.013969,13,0.000007,1862.55
500000,450001,0.078070,16,0.000009,8394.63
1000000,900001,0.160010,19,0.000011,14415.34
