Input Size,Bubble Comparisons,Bubble Time (sec),Selection Comparisons,Selection Time (sec),Insertion Comparisons,Insertion Time (sec),Merge Comparisons,Merge Time (sec),Quick Comparisons,Quick Time (sec)
100,99,0.0000,4950,0.0004,99,0.0000,316,0.0001,666,0.0001
500,499,0.0001,124750,0.0109,499,0.0001,2216,0.0014,7014,0.0013
1000,999,0.0001,499500,0.0432,999,0.0002,4932,0.0020,19313,0.0027
2000,1999,0.0002,1999000,0.1705,1999,0.0004,10864,0.0044,56392,0.0080
5000,4999,0.0007,12497500,1.0430,4999,0.0010,29804,0.0101,218704,0.0275
10000,9999,0.0011,49995000,4.1755,9999,0.0023,64608,0.0256,626982,0.0771
20000,19999,0.0022,199990000,16.4883,19999,0.0040,139216,0.0455,1770777,0.2090
