Input Size,Bubble Comparisons,Bubble Time (sec),Insertion Comparisons,Insertion Time (sec),Merge Comparisons,Merge Time (sec)
100,4940,0.0008,3008,0.0005,545,0.0002
500,124474,0.0185,60501,0.0100,3831,0.0012
1000,496872,0.0812,257622,0.0455,8735,0.0025
2000,1998370,0.3359,1013252,0.1818,19419,0.0055
5000,12493930,2.1184,6167678,1.0738,55225,0.0152
10000,49965354,8.3754,24892725,4.3433,120450,0.0354
