Input Size,Bubble Comparisons,Bubble Time (sec),Insertion Comparisons,Insertion Time (sec),Merge Comparisons,Merge Time (sec)
100,99,0.0000,99,0.0000,316,0.0002
500,499,0.0001,499,0.0001,2216,0.0015
1000,999,0.0002,999,0.0003,4932,0.0030
2000,1999,0.0004,1999,0.0007,10864,0.0051
5000,4999,0.0008,4999,0.0015,29804,0.0112
10000,9999,0.0010,9999,0.0020,64608,0.0247
