Input Size,Bubble Comparisons,Bubble Time (sec),Selection Comparisons,Selection Time (sec),Insertion Comparisons,Insertion Time (sec),Merge Comparisons,Merge Time (sec),Quick Comparisons,Quick Time (sec)
100,4929,0.0012,4950,0.0005,2689,0.0006,546,0.0002,613,0.0002
500,124714,0.0195,124750,0.0108,63255,0.0108,3857,0.0012,4546,0.0010
1000,499434,0.0824,499500,0.0442,255485,0.0445,8706,0.0027,10438,0.0023
2000,1998097,0.3429,1999000,0.1885,1014231,0.1829,19429,0.0055,23106,0.0050
5000,12497149,2.1196,12497500,1.0425,6133630,1.0874,55171,0.0151,67970,0.0137
10000,49991597,8.6584,49995000,4.1551,25020914,4.7194,120405,0.0332,154845,0.0322
20000,199980820,35.6272,199990000,16.6986,99863290,17.9197,260866,0.0706,434371,0.0912
