Input Size,Bubble Comparisons,Bubble Time (sec),Selection Comparisons,Selection Time (sec),Insertion Comparisons,Insertion Time (sec),Merge Comparisons,Merge Time (sec),Quick Comparisons,Quick Time (sec)
100,4950,0.0010,4950,0.0004,4950,0.0008,356,0.0002,663,0.0001
500,124750,0.0248,124750,0.0117,124750,0.0243,2272,0.0012,5147,0.0011
1000,499500,0.1225,499500,0.0537,499500,0.0839,5044,0.0022,12030,0.0030
2000,1999000,0.4430,1999000,0.1764,1999000,0.3834,11088,0.0039,26962,0.0061
5000,12497500,2.7464,12497500,1.0675,12497500,2.1756,32004,0.0107,80308,0.0170
10000,49995000,11.1697,49995000,4.3986,49995000,8.7742,69008,0.0223,176715,0.0362
20000,199990000,44.5884,199990000,17.0163,199990000,34.8765,148016,0.0468,389649,0.0807
