Input Size,Linear Comparisons,Linear Time (sec),Binary Comparisons,Binary Time (sec),Speedup
1000,901,0.000147,10,0.000010,14.26
5000,4501,0.000735,9,0.000009,79.95
10000,9000,0.001062,12,0.000004,265.42
50000,45001,0.007934,16,0.000009,922.58
100000,90000,0.016170,13,0.000009,1816.83
500000,450001,0.088653,18,0.000010,9139.52
1000000,900001,0.178626,19,0.000011,15948.71
2000000,1800001,0.376893,21,0.000016,24315.67
